rot0	rot1	rot2	rot3
5.355	5.355	5.355	5.355
5.35958	5.35915	5.37209	5.37253
5.35881	5.35883	5.35725	5.35723
5.35845	5.35865	5.35081	5.35062
5.3495	5.34961	5.3452	5.34509
5.3466	5.34667	5.34452	5.34445
5.33941	5.33939	5.34014	5.34016
5.33923	5.33923	5.33925	5.33925
5.33414	5.33409	5.33494	5.33498
5.33522	5.33521	5.33467	5.33467
5.33083	5.33079	5.33122	5.33125
5.33242	5.33241	5.33176	5.33175
5.32851	5.32845	5.32895	5.32898
5.33054	5.33052	5.32998	5.32996
5.32704	5.32697	5.32759	5.32759
5.32943	5.32938	5.32894	5.3289
5.32621	5.32611	5.32678	5.32678
5.32884	5.32878	5.32837	5.32832
5.32581	5.32571	5.3264	5.32637
5.32859	5.32852	5.32816	5.32807
5.3257	5.32556	5.32631	5.32625
5.32859	5.32847	5.32817	5.32805
5.32579	5.32561	5.32641	5.32631
5.32875	5.32859	5.32833	5.32816
5.32599	5.32577	5.32663	5.32647
5.32901	5.32879	5.32858	5.32836
5.32629	5.32599	5.32691	5.3267
5.32932	5.32903	5.3289	5.32862
5.32662	5.32626	5.32723	5.32695
5.32966	5.32929	5.32922	5.32886
5.32695	5.3265	5.32758	5.32722
5.33	5.32955	5.32957	5.32911
5.32731	5.32677	5.32792	5.32744
5.33038	5.32981	5.32989	5.32933
5.32768	5.32701	5.32824	5.32765
5.33072	5.33003	5.33024	5.32954
5.32802	5.32722	5.32858	5.32784
5.33105	5.33019	5.33055	5.32972
5.32834	5.32737	5.3289	5.32802
5.33138	5.33036	5.33086	5.32985
5.32866	5.32752	5.32919	5.32812
5.33169	5.33049	5.33117	5.32996
5.32896	5.32761	5.32948	5.32821
5.33199	5.33056	5.33145	5.33003
5.32926	5.32767	5.32978	5.32827
5.33227	5.3306	5.33174	5.33006
5.32955	5.32769	5.33007	5.3283
5.33256	5.33059	5.33201	5.33007
5.32984	5.32769	5.33033	5.32828
5.33287	5.3306	5.33229	5.33003
5.33012	5.32766	5.33061	5.32821
5.33314	5.33053	5.33259	5.32997
5.33039	5.32756	5.33091	5.32814
5.33344	5.33043	5.33287	5.32987
5.3307	5.32744	5.33119	5.32804
5.33374	5.3303	5.33317	5.32974
5.33102	5.32732	5.33149	5.32787
5.33405	5.33015	5.33347	5.32956
5.33132	5.32714	5.33182	5.32769
5.33436	5.32994	5.33382	5.32938
5.33165	5.3269	5.33216	5.32749
5.33471	5.32969	5.33414	5.32914
5.33202	5.32665	5.33248	5.32722
5.33507	5.32943	5.33451	5.32887
5.33239	5.32635	5.33287	5.32695
5.31811	5.3099	5.35226	5.3478
5.36322	5.35893	5.31579	5.30665
5.34576	5.33903	5.33702	5.32954
5.33353	5.32571	5.34257	5.33536
5.33534	5.32707	5.34376	5.33614
5.33426	5.32563	5.33879	5.33065
5.33855	5.3296	5.3382	5.32944
5.33591	5.3265	5.3354	5.32613
5.33845	5.32859	5.33708	5.32722
5.33515	5.32472	5.33539	5.32506
5.3378	5.32685	5.33734	5.3264
5.33491	5.32334	5.33559	5.32411
5.33792	5.32578	5.33749	5.32535
5.33523	5.32242	5.33579	5.32307
5.33833	5.32489	5.33782	5.32437
5.26874	5.24288	5.40324	5.40084
5.17989	5.1352	5.49739	5.51236
5.44519	5.44433	5.22802	5.19768
5.48775	5.49422	5.1909	5.15164
5.36684	5.39731	5.29538	5.23052
5.33484	5.30989	5.33497	5.32376
5.3472	5.27502	5.33468	5.36882
5.4122	5.39035	5.4444	5.42566
5.52339	5.51729	5.51741	5.48027
5.935	5.92022	5.96307	5.92897
6.12761	6.10433	6.15724	6.12757
6.38392	6.35461	6.3976	6.36901
6.23846	6.20738	6.24246	6.21412
6.00585	5.97014	6.04124	6.01663
5.95718	5.93155	5.90844	5.87165
5.99344	5.96099	5.98889	5.95511
6.34682	6.31387	6.32949	6.28889
6.1158	6.07525	6.14969	6.11547
5.89019	5.84869	5.92134	5.88717
5.70521	5.66459	5.71631	5.68006
3.24083	3.21726	3.24168	3.21945
3.55429	3.51752	3.61215	3.59588
3.89583	3.8673	3.87923	3.84775
4.16651	4.13636	4.13782	4.10109
4.18165	4.14476	4.18765	4.1542
4.20803	4.17348	4.19341	4.15422
3.86196	3.82859	3.85121	3.81392
3.93834	3.90633	3.91016	3.86712
3.49979	3.46065	3.52458	3.49367
3.78022	3.74029	3.78569	3.74697
4.225	4.20723	4.25967	4.18556
6.39967	6.32143	6.13172	6.06848
6.36839	6.30781	6.33291	6.24363
6.18167	6.10749	6.30058	6.22031
6.07636	5.99286	6.18089	6.10533
5.95941	5.84796	6.09697	6.04416
5.85415	5.72426	6.00578	5.96607
5.88272	5.79293	5.82961	5.74362
5.83328	5.75212	5.74409	5.64305
5.75972	5.67353	5.71058	5.60735
5.68819	5.59363	5.68121	5.57874
5.54069	5.38059	5.75133	5.70601
5.6487	5.55909	5.56838	5.44389
5.60605	5.49778	5.55613	5.44085
5.60602	5.51623	5.50095	5.35722
5.82997	5.73392	5.73529	5.57591
6.16573	6.03093	6.16766	6.0162
6.81215	6.63101	6.88337	6.73006
7.43957	7.34036	7.20045	6.92297
6.94305	6.72631	7.0357	6.87245
5.57472	5.35402	5.75059	5.64565
4.45527	4.28048	4.5396	4.44137
4.5226	4.37635	4.49229	4.35084
4.67985	4.54025	4.60756	4.43606
4.75571	4.57403	4.77085	4.61744
4.89847	4.73456	4.85837	4.66163
4.99118	4.815	4.95709	4.74672
5.06801	4.87233	5.05465	4.8365
5.13085	4.91544	5.13369	4.90747
5.19457	4.96114	5.20192	4.96426
5.24739	4.99695	5.25475	5.00385
5.29969	5.03274	5.30369	5.03698
5.25367	4.9476	5.29684	5.0429
5.41543	5.11913	5.4007	5.09112
5.98825	5.63111	5.98588	5.63499
6.45285	6.08063	6.41034	5.97813
7.18524	6.71377	7.18885	6.70753
6.99567	6.51559	6.99622	6.49015
5.60348	5.15474	5.64351	5.24791
4.55077	4.18201	4.55569	4.19762
4.59996	4.19724	4.6083	4.23331
4.77724	4.35445	4.76884	4.33995
4.93136	4.4713	4.92442	4.4552
5.06969	4.56731	5.06759	4.5588
5.33554	4.77271	5.33844	4.77424
6.64509	5.90045	6.64959	5.90644
7.12513	6.30734	7.19573	6.30927
6.95539	6.05554	6.93112	6.06525
6.48799	5.58035	6.3837	5.54076
4.91208	4.17396	4.92386	4.23253
4.52541	3.81268	4.55236	3.86165
4.7242	3.96209	4.73602	3.94874
4.94539	4.09905	4.95062	4.08131
5.14944	4.21087	5.15155	4.1981
5.32463	4.29033	5.32658	4.2874
5.48705	4.3546	5.48747	4.35408
5.62776	4.39332	5.62796	4.39749
5.76205	4.42174	5.76051	4.42347
5.87957	4.42759	5.87812	4.43222
5.99534	4.42655	5.99257	4.42751
6.0981	4.40551	6.09588	4.4098
6.20262	4.3808	6.1993	4.38108
6.29672	4.33844	6.29406	4.34262
6.39474	4.29533	6.39108	4.29499
6.48366	4.23681	6.48058	4.24083
6.57727	4.18055	6.57321	4.17949
6.66151	4.11149	6.65807	4.11527
6.74957	4.04852	6.74527	4.04661
6.82606	3.97648	6.82244	3.97994
6.90331	3.91594	6.89892	3.91309
6.96433	3.852	6.96068	3.85498
7.00436	3.828	7.03163	3.78263
6.86179	3.62863	6.81831	3.68385
6.79806	3.60065	6.82323	3.63823
6.84741	3.66246	6.83223	3.64651
6.85448	3.74009	6.83378	3.7086
6.80153	3.83233	6.79148	3.81763
6.70467	3.97462	6.70328	3.96367
6.54871	4.15556	6.55199	4.15524
6.51961	4.53841	6.50808	4.48158
6.28927	4.83422	6.30483	4.85175
6.30464	5.46739	6.32173	5.49127
6.40186	6.3484	6.41127	6.36425
5.947	6.80871	5.94726	6.80475
5.32795	7.06624	5.32699	7.05504
4.91979	7.53655	4.9193	7.52978
4.38219	7.69309	4.38686	7.68991
3.93358	7.78951	3.9364	7.79562
3.64818	8.00656	3.65165	8.00901
3.38144	8.00157	3.39288	8.0843
3.19111	8.00355	3.18104	7.9746
3.0698	7.92382	3.05715	7.88515
3.12307	7.68163	3.12222	7.65399
3.25479	7.39722	3.25857	7.39912
3.37071	7.16331	3.3767	7.16626
3.48336	7.03229	3.50309	6.96767
3.95314	7.47099	3.93292	7.5652
4.0035	7.29226	4.00326	7.29664
4.0196	7.04437	4.02171	7.02008
4.03476	6.82333	4.03602	6.80697
4.04361	6.63829	4.04739	6.62628
4.05906	6.48833	4.06143	6.48519
4.07138	6.36494	4.07433	6.36066
4.09077	6.26598	4.0916	6.26503
4.10695	6.18272	4.10861	6.1792
4.13008	6.11634	4.13029	6.11543
